Year,Madison_TotalSnow_inches,Nino34_anomaly_prevDec
1936,52.5,-0.04
1937,28.5,0.63
1938,28.0,0.22
1939,34.3,-0.79
1940,35.9,0.05
1941,38.1,1.39
1942,27.6,1.27
1943,53.5,-1.24
1944,23.0,-0.42
1945,39.3,-0.26
1946,45.7,-0.54
1947,37.1,0.03
1948,51.3,0.18
1949,36.6,0.38
1950,37.0,-1.2
1951,62.1,-1.04
1952,57.2,0.71
1953,28.0,-0.55
1954,20.6,0.15
1955,39.2,-0.79
1956,29.9,-1.52
1957,30.7,-0.58
1958,21.9,1.18
1959,67.3,0.3
1960,52.2,-0.05
1961,22.1,0.02
1962,49.3,-0.29
1963,37.2,-0.49
1964,31.1,1.05
1965,50.9,-1.07
1966,25.4,1.45
1967,38.0,-0.26
1968,12.7,-0.35
1969,33.4,0.76
1970,37.5,0.68
1971,67.4,-1.11
1972,50.3,-0.89
1973,44.0,2.19
1974,42.9,-2.18
1975,60.4,-0.86
1976,30.8,-1.64
1977,26.3,0.64
1978,56.7,1.09
1979,76.1,0.07
1980,31.0,0.69
1981,26.5,0.36
1982,50.0,0.07
1983,41.4,2.33
1984,42.2,-0.95
1985,53.7,-1.53
1986,72.4,-0.4
1987,34.5,0.98
1988,62.2,1.05
1989,36.2,-1.98
1990,34.8,-0.13
1991,55.0,0.32
1992,42.5,1.62
1993,71.2,0.04
1994,73.7,0.19
1995,52.8,1.21
1996,60.5,-0.72
1997,50.0,-0.43
1998,53.9,2.3
1999,38.1,-1.51
2000,34.1,-1.54
2001,52.2,-0.92
2002,31.8,-0.46
2003,28.8,1.41
2004,31.6,0.32
2005,43.9,0.71
2006,47.9,-0.75
2007,55.1,1.1
2008,101.4,-1.61
2009,72.0,-0.9
2010,51.6,1.81
